model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_lut_XL1VM6.onnx,44,16,16,3,1,0.30976,0.00016,0.12331800000000002
dwconv-bn-relu_lut_26HUFN.onnx,88,16,16,5,1,3.221504,0.000416,0.6857279999999999
dwconv-bn-relu_lut_A02EWC.onnx,88,16,16,5,2,0.805376,0.000416,0.21592
dwconv-bn-relu_lut_ZSVLQ0.onnx,44,16,16,5,1,0.805376,0.000416,0.21140400000000004
dwconv-bn-relu_lut_D3K5ZP.onnx,88,32,32,3,1,2.47808,0.00032,0.52454
dwconv-bn-relu_lut_KUKM0U.onnx,44,32,32,3,1,0.61952,0.00032,0.138376
dwconv-bn-relu_lut_DXXV83.onnx,88,32,32,5,1,6.443008,0.000832,0.8613759999999999
dwconv-bn-relu_lut_7D4QAM.onnx,44,32,32,5,1,1.610752,0.000832,0.23759400000000003
dwconv-bn-relu_lut_84JHCB.onnx,88,32,32,3,2,0.61952,0.00032,0.145706
dwconv-bn-relu_lut_K7OLJT.onnx,88,32,32,5,2,1.610752,0.000832,0.244776
dwconv-bn-relu_lut_M5E4GP.onnx,84,16,16,3,1,1.12896,0.00016,0.31352199999999997
dwconv-bn-relu_lut_I8O722.onnx,84,16,16,3,2,0.28224,0.00016,0.119516
dwconv-bn-relu_lut_AQCCBK.onnx,42,16,16,3,1,0.28224,0.00016,0.10963600000000003
dwconv-bn-relu_lut_HBHA3E.onnx,84,16,16,5,1,2.935296,0.000416,0.632236
dwconv-bn-relu_lut_00ENL1.onnx,84,16,16,5,2,0.733824,0.000416,0.24129199999999998
dwconv-bn-relu_lut_VKB4B3.onnx,42,16,16,5,1,0.733824,0.000416,0.190318
dwconv-bn-relu_lut_MIGR2B.onnx,84,32,32,3,1,2.25792,0.00032,0.38773799999999997
dwconv-bn-relu_lut_4CGT5S.onnx,42,32,32,3,1,0.56448,0.00032,0.131806
dwconv-bn-relu_lut_GBWJX4.onnx,84,32,32,5,1,5.870592,0.000832,0.838692
dwconv-bn-relu_lut_JD36QN.onnx,42,32,32,5,1,1.467648,0.000832,0.221878
dwconv-bn-relu_lut_C43TPD.onnx,84,32,32,3,2,0.56448,0.00032,0.1372
dwconv-bn-relu_lut_TNBICY.onnx,84,32,32,5,2,1.467648,0.000832,0.24226799999999998
dwconv-bn-relu_lut_VEHQYD.onnx,80,16,16,3,1,1.024,0.00016,0.2891600000000001
dwconv-bn-relu_lut_2W6V6K.onnx,80,16,16,3,2,0.256,0.00016,0.11374200000000001
dwconv-bn-relu_lut_VQZBJ5.onnx,40,16,16,3,1,0.256,0.00016,0.10905600000000001
dwconv-bn-relu_lut_7J1741.onnx,80,16,16,5,1,2.6624,0.000416,0.605062
dwconv-bn-relu_lut_QQ3IU1.onnx,80,16,16,5,2,0.6656,0.000416,0.18798800000000002
dwconv-bn-relu_lut_8Q1WVP.onnx,40,16,16,5,1,0.6656,0.000416,0.19758
dwconv-bn-relu_lut_S7IAQ6.onnx,80,32,32,3,1,2.048,0.00032,0.372328
dwconv-bn-relu_lut_GWNAI7.onnx,40,32,32,3,1,0.512,0.00032,0.127882
dwconv-bn-relu_lut_A0YKB9.onnx,80,32,32,5,1,5.3248,0.000832,0.730418
dwconv-bn-relu_lut_MAHCJP.onnx,40,32,32,5,1,1.3312,0.000832,0.218606
dwconv-bn-relu_lut_9DGUWF.onnx,80,32,32,3,2,0.512,0.00032,0.173564
dwconv-bn-relu_lut_U0H1GW.onnx,80,32,32,5,2,1.3312,0.000832,0.219304
dwconv-bn-relu_lut_MJMSE9.onnx,112,64,64,3,1,8.02816,0.00064,1.0354999999999999
dwconv-bn-relu_lut_W455GU.onnx,112,64,64,3,2,2.00704,0.00064,0.348026
dwconv-bn-relu_lut_NEUZUP.onnx,112,96,96,3,1,12.04224,0.00096,1.407286
dwconv-bn-relu_lut_7QA5C8.onnx,112,96,96,3,2,3.01056,0.00096,0.40540600000000004
dwconv-bn-relu_lut_4C06LR.onnx,112,128,128,3,1,16.05632,0.00128,1.7033699999999998
dwconv-bn-relu_lut_301Z8E.onnx,112,128,128,3,2,4.01408,0.00128,0.5048379999999999
dwconv-bn-relu_lut_TEP0WD.onnx,112,64,64,5,1,20.873216,0.001664,2.077038
dwconv-bn-relu_lut_V9ACRQ.onnx,112,64,64,5,2,5.218304,0.001664,0.5467759999999999
dwconv-bn-relu_lut_OPQRXC.onnx,112,96,96,5,1,31.309824,0.002496,2.931962
dwconv-bn-relu_lut_PL0M91.onnx,112,96,96,5,2,7.827456,0.002496,0.734282
dwconv-bn-relu_lut_FBK7ZF.onnx,112,128,128,5,1,41.746432,0.003328,3.816824
dwconv-bn-relu_lut_Z2K767.onnx,112,128,128,5,2,10.436608,0.003328,0.912084
dwconv-bn-relu_lut_GVA90N.onnx,112,192,192,3,1,24.08448,0.00192,2.338146
dwconv-bn-relu_lut_MF8ZYY.onnx,112,192,192,3,2,6.02112,0.00192,0.761208
dwconv-bn-relu_lut_AK66CZ.onnx,112,256,256,3,1,32.11264,0.00256,3.128576
dwconv-bn-relu_lut_WD9DGK.onnx,112,256,256,3,2,8.02816,0.00256,1.057004
dwconv-bn-relu_lut_31M5QV.onnx,112,192,192,5,1,62.619648,0.004992,4.947834
dwconv-bn-relu_lut_PVRHH9.onnx,112,192,192,5,2,15.654912,0.004992,1.446856
dwconv-bn-relu_lut_B3Z1M3.onnx,112,256,256,5,1,83.492864,0.006656,6.493864
dwconv-bn-relu_lut_9NBVNQ.onnx,112,256,256,5,2,20.873216,0.006656,1.9105159999999999
dwconv-bn-relu_lut_FHRVSD.onnx,108,64,64,3,1,7.46496,0.00064,0.878518
dwconv-bn-relu_lut_SDEYX8.onnx,108,64,64,3,2,1.86624,0.00064,0.29879999999999995
dwconv-bn-relu_lut_W3KNHH.onnx,108,96,96,3,1,11.19744,0.00096,1.271902
dwconv-bn-relu_lut_JOXQ6O.onnx,108,96,96,3,2,2.79936,0.00096,0.36862
dwconv-bn-relu_lut_X9AJ09.onnx,108,128,128,3,1,14.92992,0.00128,1.642332
