model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_lut_OOHGEH.onnx,10,768,256,1,1,19.6864,0.196864,0.21023800000000004
conv-bn-relu_lut_QIQ435.onnx,10,1024,256,1,1,26.24,0.2624,0.26726799999999995
conv-bn-relu_lut_EX9NPZ.onnx,10,576,192,1,1,11.0784,0.110784,0.139732
conv-bn-relu_lut_5F2R74.onnx,10,864,192,1,1,16.608,0.16608,0.18869
conv-bn-relu_lut_ANPDZ9.onnx,10,1152,192,1,1,22.1376,0.221376,0.230958
conv-bn-relu_lut_X8A2QA.onnx,10,576,208,1,1,12.0016,0.120016,0.14800799999999997
conv-bn-relu_lut_WFGX56.onnx,10,864,208,1,1,17.992,0.17992,0.197
conv-bn-relu_lut_5674R0.onnx,10,1152,208,1,1,23.9824,0.239824,0.24994999999999998
conv-bn-relu_lut_O5URWW.onnx,10,576,224,1,1,12.9248,0.129248,0.154324
conv-bn-relu_lut_QD7HJM.onnx,10,864,224,1,1,19.376,0.19376,0.20737199999999997
conv-bn-relu_lut_08LO5Y.onnx,10,1152,224,1,1,25.8272,0.258272,0.26069
conv-bn-relu_lut_5WK5RH.onnx,10,576,240,1,1,13.848,0.13848,0.16181399999999999
conv-bn-relu_lut_RCEJZF.onnx,10,864,240,1,1,20.76,0.2076,0.23208
conv-bn-relu_lut_J0P2IO.onnx,10,1152,240,1,1,27.672,0.27672,0.2926119999999999
conv-bn-relu_lut_TYIM8R.onnx,10,576,256,1,1,14.7712,0.147712,0.187902
conv-bn-relu_lut_SAWRVR.onnx,10,864,256,1,1,22.144,0.22144,0.24646199999999996
conv-bn-relu_lut_H3NRAC.onnx,10,1152,256,1,1,29.5168,0.295168,0.308312
conv-bn-relu_lut_1980K3.onnx,10,192,768,1,1,14.8224,0.148224,0.19504599999999997
conv-bn-relu_lut_M6TSKG.onnx,10,192,1152,1,1,22.2336,0.222336,0.267192
conv-bn-relu_lut_CDR0D3.onnx,10,192,1536,1,1,29.6448,0.296448,0.34243799999999996
conv-bn-relu_lut_62R852.onnx,10,1536,192,1,1,29.5104,0.295104,0.308
conv-bn-relu_lut_KUDMUZ.onnx,10,1536,208,1,1,31.9696,0.319696,0.32639
conv-bn-relu_lut_L6WVXM.onnx,10,1536,224,1,1,34.4288,0.344288,0.34963
conv-bn-relu_lut_77VBQ5.onnx,10,1536,240,1,1,36.888,0.36888,0.37124799999999997
